Provinsi,Akomodasi 2019,Akomodasi 2020,Akomodasi 2021,Kamar 2019,Kamar 2020,Kamar 2021,Tempat Tidur 2019,Tempat Tidur 2020,Tempat Tidur 2021
ACEH,23,24,26,1854,1770,1927,3114,2940,3107
SUMATERA UTARA,130,143,145,11568,12499,12251,20465,19507,18192
SUMATERA BARAT,82,85,86,4648,4719,5225,7344,7685,8052
RIAU,90,95,93,7838,18456,8527,21148,22156,12304
JAMBI,36,36,37,2567,2105,2644,3756,2939,3987
SUMATERA SELATAN,85,78,77,7259,7253,6618,10216,10445,9112
BENGKULU,10,15,17,591,909,1053,899,1341,1582
LAMPUNG,22,27,28,2410,2772,2858,3448,4331,4138
KEP. BANGKA BELITUNG,53,55,51,3461,3601,3346,5508,5792,5030
KEP. RIAU,127,127,101,14978,13699,11784,19834,18802,16263
DKI JAKARTA,397,392,384,55800,55523,52543,69236,69905,68868
JAWA BARAT,495,510,521,48755,50918,50053,75098,78121,77539
JAWA TENGAH,311,324,333,25630,27523,27348,40846,47638,42558
DI YOGYAKARTA,163,172,168,16231,16964,16293,28552,27247,25777
JAWA TIMUR,258,288,283,27485,30138,30119,40373,44327,43042
BANTEN,125,129,126,12094,12379,12398,17675,18082,18627
BALI,507,508,403,70146,54077,46302,97099,73718,63194
NUSA TENGGARA BARAT,72,71,63,5173,5396,4997,7991,8063,7562
NUSA TENGGARA TIMUR,30,35,34,2243,2586,2628,3766,4267,4088
KALIMANTAN BARAT,42,45,48,4390,4790,4936,6493,6992,6982
KALIMANTAN TENGAH,19,19,20,1534,1520,1673,2242,2352,2340
KALIMANTAN SELATAN,57,61,60,4655,4783,4782,6954,7557,6836
KALIMANTAN TIMUR,70,71,70,7527,7593,7554,10599,10395,10486
KALIMANTAN UTARA,6,7,7,323,323,411,518,425,593
SULAWESI UTARA,42,41,50,3821,3659,4903,5605,4978,7092
SULAWESI TENGAH,10,11,13,786,985,993,1154,1487,1428
SULAWESI SELATAN,142,151,147,11932,12070,11887,17636,18137,17641
SULAWESI TENGGARA,21,23,25,1634,1680,1819,2505,2610,2789
GORONTALO,7,8,7,527,617,590,787,851,926
SULAWESI BARAT,7,7,3,429,429,109,679,700,148
MALUKU,20,20,22,1254,1196,1272,1846,1583,1780
MALUKU UTARA,4,9,11,394,575,664,671,955,999
PAPUA BARAT,18,19,19,1293,1331,1362,1871,2153,2037
PAPUA,35,38,43,2519,2858,3193,3902,4127,4573