Provinsi,2021_foreign,2022_foreign,2023_foreign,2021_indo,2022_indo,2023_indo,jumlah 2021,jumlah 2022,jumlah 2023
ACEH,6.37,2.54,1.5,1.76,1.8,1.61,1.77,1.8,1.6
SUMATERA UTARA,2.87,2.1,1.65,1.55,1.43,1.45,1.56,1.43,1.46
SUMATERA BARAT,2.41,1.96,1.62,1.39,1.38,1.41,1.39,1.38,1.41
RIAU,4.53,3.42,3.14,1.58,1.36,1.19,1.59,1.37,1.21
JAMBI,3.38,3.05,2.22,1.48,1.53,1.73,1.48,1.54,1.73
SUMATERA SELATAN,2.83,2.75,2.89,1.55,1.48,1.37,1.56,1.48,1.37
BENGKULU,1.8,1.58,1.51,1.38,1.33,1.28,1.38,1.33,1.28
LAMPUNG,2.62,2.33,2.45,1.32,1.56,1.45,1.32,1.56,1.46
KEP. BANGKA BELITUNG,3.07,3.23,3.41,1.66,1.73,1.65,1.66,1.74,1.66
KEP. RIAU,2.91,2.21,2.12,1.73,1.72,1.77,1.77,1.83,1.89
DKI JAKARTA,3.69,4.33,2.47,2.18,2.03,1.67,2.25,2.19,1.73
JAWA BARAT,3.93,3.23,3.01,1.57,1.5,1.42,1.59,1.52,1.45
JAWA TENGAH,2.37,2.41,2.17,1.34,1.35,1.35,1.35,1.36,1.36
DI YOGYAKARTA,1.98,2.45,2.43,1.53,1.53,1.55,1.53,1.53,1.57
JAWA TIMUR,1.81,2.6,2,1.46,1.52,1.54,1.46,1.53,1.55
BANTEN,2.19,1.96,1.48,1.5,1.36,1.4,1.52,1.39,1.41
BALI,2.71,2.65,2.88,1.99,2.01,2.13,2.03,2.2,2.49
NUSA TENGGARA BARAT,3.44,2.2,2.32,2.2,1.8,1.76,2.22,1.81,1.89
NUSA TENGGARA TIMUR,2.51,2.21,2.06,1.59,1.66,1.67,1.6,1.7,1.74
KALIMANTAN BARAT,3.61,2.37,2.56,1.51,1.58,1.72,1.51,1.58,1.73
KALIMANTAN TENGAH,2.36,3.06,2.35,1.59,1.69,1.57,1.59,1.7,1.58
KALIMANTAN SELATAN,2.4,1.76,2.47,1.46,1.57,1.54,1.46,1.57,1.54
KALIMANTAN TIMUR,2.45,2.64,2.46,1.59,1.63,1.63,1.6,1.64,1.64
KALIMANTAN UTARA,1.42,1.43,1.61,1.4,1.27,1.78,1.4,1.28,1.77
SULAWESI UTARA,3.99,2.33,2.06,1.8,1.74,1.65,1.85,1.75,1.66
SULAWESI TENGAH,4.82,2.13,1.45,2.06,1.9,1.76,2.06,1.91,1.76
SULAWESI SELATAN,1.83,2.94,2.1,1.6,1.64,1.52,1.6,1.65,1.52
SULAWESI TENGGARA,2.13,2.45,2.36,1.64,1.55,1.29,1.64,1.56,1.29
GORONTALO,2.15,2.78,2.84,1.84,1.85,1.63,1.84,1.86,1.64
SULAWESI BARAT,1.83,1.59,1.35,1.12,1.24,1.2,1.12,1.24,1.2
MALUKU,1.84,2.99,2.91,2.91,1.99,1.72,2.9,2.02,1.77
MALUKU UTARA,2.5,1.97,1.95,1.63,1.44,1.74,1.63,1.44,1.74
PAPUA BARAT,1.91,1.77,2.02,1.85,1.91,2.01,1.85,1.91,2.01
PAPUA BARAT DAYA,-,-,1.34,-,-,1.82,-,-,1.78
PAPUA,2.37,2.35,2.85,2.38,1.89,1.69,2.38,1.89,1.69
PAPUA SELATAN,-,-,1.4,-,-,1.99,-,-,1.98
PAPUA TENGAH,-,-,1.85,-,-,1.22,-,-,1.25
PAPUA PEGUNUNGAN,-,-,2.52,-,-,1.55,-,-,1.57