Asal Wisatawan,2022,2023
Brunei Darussalam,9.56,7.31
Malaysia,4.31,3.25
Filipina,10.39,4.56
Singapura,3.97,2.96
Thailand,11.57,4.5
Hong Kong,3.63,2.03
India,8.94,7.08
Jepang,19.14,10.05
Korea Selatan,14.07,9.98
Pakistan,29.68,21.12
Bangladesh,23.72,5.4
Srilanka,28.42,9.24
Taiwan,17.88,7.55
Cina,42.65,26.98
Arab Saudi,15.42,12.83
Austria,19.28,6.73
Belgia,18.57,17.34
Denmark,19.21,17.97
Perancis,17.85,16.45
Jerman,19.79,17.64
Italia,15.99,14.06
Belanda,21.01,9.66
Spanyol,16.82,8.92
Portugal,11.14,10.74
Swedia,18.91,9.76
Swiss,19.72,17.18
Inggris,14.85,12.13
Finlandia,19.07,17.66
Norwegia,18.69,17.72
Rusia,48.26,43.86
Amerika Serikat,14.87,9.46
Kanada,16.8,14.67
Amerika Tengah,23.58,12.75
Amerika Selatan,20.07,13.22
Australia,10.64,10.08
Selandia Baru,13.1,11.9
Mesir,18.47,13.35