Asal,2022,2023
Brunei Darussalam,-,943.73
Malaysia,669.41,591.03
Filipina,-,768.43
Singapura,796.59,929.82
Thailand,-,683.27
Hong Kong,1265.81,1463.3
India,-,1674.07
Jepang,1462.21,1403.97
Korea Selatan,-,1506.48
Pakistan,-,2041.79
Bangladesh,-,-
Srilanka,-,1912.16
Taiwan,-,1911.59
Cina,-,1330.11
Arab Saudi,2043.6,1706.01
Austria,2767.82,4274.22
Belgia,2458.84,2423.19
Denmark,1897.15,2358.91
Perancis,1996.77,2731.37
Jerman,1999.69,2958.79
Italia,2220.45,3296.55
Belanda,1842.13,2492.12
Spanyol,2211.8,2784.06
Portugal,-,2382.23
Swedia,-,3133.48
Swiss,2458.05,4151.25
Inggris,1909.22,3394.13
Finlandia,2721.26,3009.96
Norwegia,-,3206.55
Rusia,-,2661.43
Amerika Serikat,2104.59,2454.57
Kanada,2543.7,2178.59
Amerika Tengah,-,-
Amerika Selatan,2438.35,1780.23
Australia,1407.59,1513.66
Selandia Baru,-,-
Mesir,-,-